Jewish Year,Month,Day,Audio File,,Document File,Audio Link,Doc Link,Match Type,Date 
5711,Shvat,10,"00001--5711-Shvat 10 -- pink cassette audio in full, best audio of all cassettes.ra",,10 Shevat 5711 - Maamar Basi Lgani.DOC,https://drive.google.com/file/d/1ce9nAWqizmGrdhB-s-Csb3MnpnIW4bsh/view,https://docs.google.com/document/d/1UfqdR4pllJkyzwIlZLJ6bWl3-1KoShIB/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,,,10 Shevat 5711.doc,https://drive.google.com/file/d/1ce9nAWqizmGrdhB-s-Csb3MnpnIW4bsh/view,https://docs.google.com/document/d/184TDjL5npHfzvYFutg1lgqvPuSyZjk6R/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,,,,https://drive.google.com/file/d/1P9Py6RY4puUMIgDlTBRLt6N53cbI50TX/view,https://docs.google.com/document/d/1UfqdR4pllJkyzwIlZLJ6bWl3-1KoShIB/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,,,,https://drive.google.com/file/d/1P9Py6RY4puUMIgDlTBRLt6N53cbI50TX/view,https://docs.google.com/document/d/184TDjL5npHfzvYFutg1lgqvPuSyZjk6R/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,,,,https://drive.google.com/file/d/1au0aoX-xijbwnOYso8W_vLceS2JeE8tR/view,https://docs.google.com/document/d/1UfqdR4pllJkyzwIlZLJ6bWl3-1KoShIB/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,0001--5711-Shvat 10 Sicha 1.mp3,,,https://drive.google.com/file/d/1au0aoX-xijbwnOYso8W_vLceS2JeE8tR/view,https://docs.google.com/document/d/184TDjL5npHfzvYFutg1lgqvPuSyZjk6R/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,,,,https://drive.google.com/file/d/18eiy_uTW4ELOGXzUr6LEAKlcyiBFf4VJ/view,https://docs.google.com/document/d/1UfqdR4pllJkyzwIlZLJ6bWl3-1KoShIB/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,0004--5711-Shvat 10d Sicha 3.mp3,,,https://drive.google.com/file/d/18eiy_uTW4ELOGXzUr6LEAKlcyiBFf4VJ/view,https://docs.google.com/document/d/184TDjL5npHfzvYFutg1lgqvPuSyZjk6R/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,,,,https://drive.google.com/file/d/1EwoWLPBBWcmpv2HPqdNUuflAsG_xvc5D/view,https://docs.google.com/document/d/1UfqdR4pllJkyzwIlZLJ6bWl3-1KoShIB/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,0002--5711-Shvat 10b Sicha 2.mp3,,,https://drive.google.com/file/d/1EwoWLPBBWcmpv2HPqdNUuflAsG_xvc5D/view,https://docs.google.com/document/d/184TDjL5npHfzvYFutg1lgqvPuSyZjk6R/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,,,,https://drive.google.com/file/d/1weJBOCJTTCFX6umi-pwyHW35EbY8XLXP/view,https://docs.google.com/document/d/1UfqdR4pllJkyzwIlZLJ6bWl3-1KoShIB/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Shvat,10,0003--5711-Shvat 10c Mamar.mp3,,,https://drive.google.com/file/d/1weJBOCJTTCFX6umi-pwyHW35EbY8XLXP/view,https://docs.google.com/document/d/184TDjL5npHfzvYFutg1lgqvPuSyZjk6R/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Adar,14,,/,6-14-11.DOC,"No. What I want you to do is, basically, on the Excel sheet, there's a lot of times that the document has one date, and the MP3 file is a date before, like one day before or one day after. So, it ends up happening that the document of the transcription doesn't match the date in the MP3, and it comes up as an unmatched document, Word document. Now, every single document needs to be mapped to an MP3 file. It's impossible for a document not to have an MP3 file, by definition, because it's a transcript. All Word documents are transcripts from MP3 files. So what I want you to do is to... you have here access in this folder to both every Word document and the whole list of the audio files and document files. So... what you need to do is for all the document files that don't have an MP3 file you should actually open the document file or create a script that has an LLM open it and parse the first few rows in order to see like what the actual date in the actual Word document is so usually it says in the beginning So I need to figure out a way to do that. Please do it. ",https://docs.google.com/document/d/1Se1exgnFVFtCyW5n_dHHJEdiRI9sXlfQ/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,DOC_ONLY,
5711,Adar,14,,/,14 Adar 5711 Mammar.DOC,,https://docs.google.com/document/d/1JyStE48TIVt8w-eNsdxwqiI70lKNTnHO/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,DOC_ONLY,
5711,Adar,14,,,14 Adar 5711.doc,,https://docs.google.com/document/d/1eCXfG-W9g0dfzTgmCDvBCCLhs0yuz7cn/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,DOC_ONLY,
5711,Adar II,14,0008--5711-AdarB 14d Sicha 3.mp3,,,https://drive.google.com/file/d/1oMyDWQvXMXUiLOMl4SA82tQepbws9ifR,,AUDIO_ONLY,
5711,Adar II,14,0007--5711-AdarB 14c Sicha 2.mp3,,,https://drive.google.com/file/d/1hxFbnP0Zy_TXI7J9TpXi_WXR6jUWrTZ1/view,,AUDIO_ONLY,
5711,Adar II,14,0005--5711-AdarB 14 Sicha 1.mp3,,,https://drive.google.com/file/d/1XoCm9keFH_7EKuWWkBrNKDPRPS54S7r6/view,,AUDIO_ONLY,
5711,Adar II,14,0006--5711-AdarB 14b Mamar.mp3,,,https://drive.google.com/file/d/1lS5XXnZ4b1Ukz1CsI9uzs0PxSVYxylr7/view,,AUDIO_ONLY,
5711,Iyar,18,0013--5711-Iyar 18h Sicha 7.mp3,,,https://drive.google.com/file/d/10gzO4u190Fz4Li9f9XSQUiCNdQZDwswe/view,,AUDIO_ONLY,
5711,Iyar,18,0014--5711-Iyar 18i Sicha 8.mp3,,,https://drive.google.com/file/d/1W-Bt3cvZ1HSPGJ9selnGxuXXDPOOBWKW/view,,AUDIO_ONLY,
5711,Iyar,18,0011--5711-Iyar 18f Sicha 5.mp3,,,https://drive.google.com/file/d/12o7UtWElY2oRw1_SYCQIg6Aigzkq4lSE/view,,AUDIO_ONLY,
5711,Iyar,18,0012--5711-Iyar 18g Sicha 6.mp3,,,https://drive.google.com/file/d/1Y4Sxc8-9yATum_m8-RqW3ybAoefBvNW8/view,,AUDIO_ONLY,
5711,Iyar,18,0010--5711-Iyar 18e Sicha 4.mp3,,,https://drive.google.com/file/d/1RNqUPnwAePvW_ddmwmcCScX3lvKJE3ya/view,,AUDIO_ONLY,
5711,Iyar,18,0009--5711-Iyar 18d Mamar.mp3,,,https://drive.google.com/file/d/1-lk618o5WF28ooC5Uo8JfMzCM_fcl44i/view,,AUDIO_ONLY,
5711,Sivan,13,,/,10-13-11.DOC,,https://docs.google.com/document/d/1Nk2jxHKZmfhpuT0rrDgMpg8NMnUn0btO/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,DOC_ONLY,
5711,Tammuz,12,0022--5711-Tamuz 12h Sicha 7.mp3,,12 Tammuz 5711 Sicha 1.docx,https://drive.google.com/file/d/1UQmbYgYpIDOMtkWOO8Npw0RoA1AWFNn1/view,https://docs.google.com/document/d/1hdWpvm5nOkPFvsGVDi5vzJIEdKenw5cv/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Tammuz,12,0020--5711-Tamuz 12f Sicha 5.mp3,,12 Tammuz 5711 Sicha 1.docx,https://drive.google.com/file/d/1D1qNpUJrNg5Oc8Vs6br-eJEEQk496DxF/view,https://docs.google.com/document/d/1hdWpvm5nOkPFvsGVDi5vzJIEdKenw5cv/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Tammuz,12,0021--5711-Tamuz 12g Sicha 6.mp3,,12 Tammuz 5711 Sicha 1.docx,https://drive.google.com/file/d/1IliyhfzZTkPzJuhlUzaXkyqBC4hB9sOD/view,https://docs.google.com/document/d/1hdWpvm5nOkPFvsGVDi5vzJIEdKenw5cv/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5711,Tammuz,12,0018--5711-Tamuz 12d Sicha 3.mp3,,12 Tammuz 5711 Sicha 1.docx,https://drive.google.com/file/d/185uG2lvElwpQpVIVzxzdV60Pzt9StMyF/view,https://docs.google.com/document/d/1hdWpvm5nOkPFvsGVDi5vzJIEdKenw5cv/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
